Round,Day,Area,Material,Material description,Price,Qty,Value,Cost
2,20,NO,KK-B05,500mL Spritz,21.15,92,"1,945.80","1,839.08"
2,20,NO,KK-B06,500mL Lemon Spritz,23.30,67,"1,561.10","1,540.33"
2,20,NO,KK-B02,1L Spritz,15.30,76,"1,162.80","1,139.24"
2,19,WE,KK-B04,500mL ClearPure,17.70,111,"1,964.70","1,885.89"
2,19,WE,KK-B05,500mL Spritz,21.10,74,"1,561.40","1,479.26"
2,19,WE,KK-B06,500mL Lemon Spritz,23.70,77,"1,824.90","1,770.23"
2,19,WE,KK-B05,500mL Spritz,21.10,55,"1,160.50","1,099.45"
2,19,WE,KK-B05,500mL Spritz,21.10,91,"1,920.10","1,819.09"
2,19,WE,KK-B01,1L ClearPure,14.50,115,"1,667.50","1,378.85"
2,16,NO,KK-B01,1L ClearPure,14.50,148,"2,146.00","1,774.52"
2,16,NO,KK-B05,500mL Spritz,21.10,83,"1,751.30","1,659.17"
2,16,NO,KK-B05,500mL Spritz,21.10,96,"2,025.60","1,919.04"
2,16,SO,KK-B04,500mL ClearPure,17.70,105,"1,858.50","1,783.95"
2,16,SO,KK-B04,500mL ClearPure,17.70,58,"1,026.60",985.42
2,16,SO,KK-B05,500mL Spritz,21.10,85,"1,793.50","1,699.15"
2,16,WE,KK-B03,1L Lemon Spritz,17.60,113,"1,988.80","1,919.87"
2,16,WE,KK-B04,500mL ClearPure,17.70,75,"1,327.50","1,274.25"
2,16,WE,KK-B06,500mL Lemon Spritz,23.70,77,"1,824.90","1,770.23"
2,15,NO,KK-B06,500mL Lemon Spritz,23.70,47,"1,113.90","1,080.53"
2,15,NO,KK-B04,500mL ClearPure,17.70,77,"1,362.90","1,308.23"
2,15,NO,KK-B02,1L Spritz,15.20,90,"1,368.00","1,349.10"
2,15,SO,KK-B02,1L Spritz,15.20,128,"1,945.60","1,918.72"
2,15,SO,KK-B04,500mL ClearPure,17.70,71,"1,256.70","1,206.29"
2,15,SO,KK-B05,500mL Spritz,21.10,63,"1,329.30","1,259.37"
2,15,SO,KK-B04,500mL ClearPure,17.70,90,"1,593.00","1,529.10"
2,15,SO,KK-B02,1L Spritz,15.20,95,"1,444.00","1,424.05"
2,15,SO,KK-B05,500mL Spritz,21.10,87,"1,835.70","1,739.13"
2,15,WE,KK-B02,1L Spritz,15.20,98,"1,489.60","1,469.02"
2,15,WE,KK-B03,1L Lemon Spritz,17.60,67,"1,179.20","1,138.33"
2,15,WE,KK-B02,1L Spritz,15.20,120,"1,824.00","1,798.80"
2,14,NO,KK-B01,1L ClearPure,15.30,102,"1,560.60","1,222.98"
2,14,NO,KK-B05,500mL Spritz,21.20,73,"1,547.60","1,459.27"
2,14,NO,KK-B03,1L Lemon Spritz,17.60,99,"1,742.40","1,682.01"
2,13,SO,KK-B01,1L ClearPure,15.30,83,"1,269.90",995.17
2,13,SO,KK-B05,500mL Spritz,21.20,62,"1,314.40","1,239.38"
2,13,SO,KK-B06,500mL Lemon Spritz,23.70,74,"1,753.80","1,701.26"
2,13,WE,KK-B06,500mL Lemon Spritz,23.70,63,"1,493.10","1,448.37"
2,13,WE,KK-B04,500mL ClearPure,18.75,97,"1,818.75","1,648.03"
2,13,WE,KK-B04,500mL ClearPure,18.75,97,"1,818.75","1,648.03"
2,13,WE,KK-B02,1L Spritz,16.60,70,"1,162.00","1,049.30"
2,13,WE,KK-B03,1L Lemon Spritz,17.60,98,"1,724.80","1,665.02"
2,13,WE,KK-B02,1L Spritz,16.60,126,"2,091.60","1,888.74"
2,12,WE,KK-B05,500mL Spritz,21.20,53,"1,123.60","1,059.47"
2,12,WE,KK-B04,500mL ClearPure,18.75,82,"1,537.50","1,393.18"
2,12,WE,KK-B02,1L Spritz,16.60,76,"1,261.60","1,139.24"
2,11,NO,KK-B05,500mL Spritz,20.99,70,"1,469.30","1,399.30"
2,11,NO,KK-B04,500mL ClearPure,20.99,89,"1,868.11","1,512.11"
2,11,WE,KK-B03,1L Lemon Spritz,18.50,77,"1,424.50","1,308.23"
2,11,WE,KK-B04,500mL ClearPure,20.99,74,"1,553.26","1,257.26"
2,11,WE,KK-B04,500mL ClearPure,20.99,85,"1,784.15","1,444.15"
2,11,WE,KK-B06,500mL Lemon Spritz,22.30,85,"1,895.50","1,954.15"
2,11,WE,KK-B06,500mL Lemon Spritz,22.30,93,"2,073.90","2,138.07"
2,9,SO,KK-B01,1L ClearPure,16.30,68,"1,108.40",815.32
2,9,SO,KK-B01,1L ClearPure,16.30,80,"1,304.00",959.20
2,9,SO,KK-B02,1L Spritz,16.50,124,"2,046.00","1,858.76"
2,9,WE,KK-B05,500mL Spritz,21.50,74,"1,591.00","1,479.26"
2,9,WE,KK-B06,500mL Lemon Spritz,23.50,59,"1,386.50","1,356.41"
2,8,NO,KK-B06,500mL Lemon Spritz,22.40,63,"1,411.20","1,448.37"
2,8,NO,KK-B04,500mL ClearPure,18.50,69,"1,276.50","1,172.31"
2,8,NO,KK-B03,1L Lemon Spritz,15.70,117,"1,836.90","1,987.83"
2,8,SO,KK-B04,500mL ClearPure,18.50,112,"2,072.00","1,902.88"
2,8,SO,KK-B04,500mL ClearPure,18.50,75,"1,387.50","1,274.25"
2,8,SO,KK-B04,500mL ClearPure,18.50,79,"1,461.50","1,342.21"
2,8,SO,KK-B05,500mL Spritz,21.50,51,"1,096.50","1,019.49"
2,8,SO,KK-B06,500mL Lemon Spritz,22.40,79,"1,769.60","1,816.21"
2,8,SO,KK-B06,500mL Lemon Spritz,22.40,87,"1,948.80","2,000.13"
2,8,SO,KK-B04,500mL ClearPure,18.50,106,"1,961.00","1,800.94"
2,8,SO,KK-B03,1L Lemon Spritz,15.70,115,"1,805.50","1,953.85"
2,8,SO,KK-B01,1L ClearPure,14.50,135,"1,957.50","1,618.65"
2,7,NO,KK-B03,1L Lemon Spritz,15.70,128,"2,009.60","2,174.72"
2,7,NO,KK-B04,500mL ClearPure,18.50,72,"1,332.00","1,223.28"
2,7,NO,KK-B04,500mL ClearPure,18.50,69,"1,276.50","1,172.31"
2,7,NO,KK-B04,500mL ClearPure,18.50,68,"1,258.00","1,155.32"
2,7,NO,KK-B04,500mL ClearPure,18.50,64,"1,184.00","1,087.36"
2,7,NO,KK-B03,1L Lemon Spritz,15.70,90,"1,413.00","1,529.10"
2,7,NO,KK-B05,500mL Spritz,21.50,72,"1,548.00","1,439.28"
2,7,NO,KK-B06,500mL Lemon Spritz,22.40,67,"1,500.80","1,540.33"
2,7,NO,KK-B05,500mL Spritz,21.50,84,"1,806.00","1,679.16"
2,7,NO,KK-B03,1L Lemon Spritz,15.70,99,"1,554.30","1,682.01"
2,7,NO,KK-B03,1L Lemon Spritz,15.70,125,"1,962.50","2,123.75"
2,7,NO,KK-B03,1L Lemon Spritz,15.70,137,"2,150.90","2,327.63"
2,7,SO,KK-B05,500mL Spritz,21.50,86,"1,849.00","1,719.14"
2,7,SO,KK-B04,500mL ClearPure,18.50,103,"1,905.50","1,749.97"
