Date,Material Description,Area,Qty,Value,Price
03/20,1L ClearPure,NO,823,"10,657",12.95
03/20,1L ClearPure,SO,"3,615","44,440",12.29
03/20,1L ClearPure,WE,"2,074","26,243",12.65
03/20,1L Lemon Spritz,NO,"1,706","29,646",17.38
03/20,1L Lemon Spritz,SO,383,"6,707",17.51
03/20,1L Lemon Spritz,WE,928,"16,193",17.45
03/20,1L Spritz,NO,785,"12,074",15.38
03/20,1L Spritz,SO,413,"5,901",14.29
03/20,1L Spritz,WE,"1,287","19,675",15.29
03/20,500mL ClearPure,NO,"2,184","38,731",17.73
03/20,500mL ClearPure,SO,"2,315","40,448",17.47
03/20,500mL ClearPure,WE,"1,907","34,040",17.85
03/20,500mL Lemon Spritz,NO,639,"14,390",22.52
03/20,500mL Lemon Spritz,SO,823,"16,354",19.87
03/20,500mL Lemon Spritz,WE,"1,306","29,638",22.69
03/20,500mL Spritz,NO,"1,643","33,665",20.49
03/20,500mL Spritz,SO,"1,601","32,559",20.34
03/20,500mL Spritz,WE,922,"18,819",20.41
03/15,1L ClearPure,NO,"1,074","13,963",13.00
03/15,1L ClearPure,SO,"3,725","48,300",12.97
03/15,1L ClearPure,WE,"1,960","24,927",12.72
03/15,1L Lemon Spritz,NO,"1,291","22,586",17.50
03/15,1L Lemon Spritz,SO,275,"4,836",17.59
03/15,1L Lemon Spritz,WE,962,"16,684",17.34
03/15,1L Spritz,NO,"1,241","19,476",15.69
03/15,1L Spritz,SO,365,"5,562",15.24
03/15,1L Spritz,WE,"1,520","23,611",15.53
03/15,500mL ClearPure,NO,"2,194","38,815",17.69
03/15,500mL ClearPure,SO,"2,225","39,864",17.92
03/15,500mL ClearPure,WE,"1,628","29,170",17.92
03/15,500mL Lemon Spritz,NO,728,"17,076",23.46
03/15,500mL Lemon Spritz,SO,716,"16,614",23.20
03/15,500mL Lemon Spritz,WE,"1,682","39,439",23.45
03/15,500mL Spritz,NO,"1,443","30,183",20.92
03/15,500mL Spritz,SO,"1,501","31,264",20.83
03/15,500mL Spritz,WE,781,"15,946",20.42
03/10,1L ClearPure,NO,975,"12,847",13.18
03/10,1L ClearPure,SO,"2,620","34,264",13.08
03/10,1L ClearPure,WE,"2,111","27,569",13.06
03/10,1L Lemon Spritz,NO,"2,024","35,461",17.52
03/10,1L Lemon Spritz,SO,450,"7,952",17.67
03/10,1L Lemon Spritz,WE,819,"14,705",17.96
03/10,1L Spritz,NO,687,"10,617",15.45
03/10,1L Spritz,SO,834,"13,009",15.60
03/10,1L Spritz,WE,"1,363","21,273",15.61
03/10,500mL ClearPure,NO,"2,256","40,579",17.99
03/10,500mL ClearPure,SO,"2,175","38,993",17.93
03/10,500mL ClearPure,WE,"1,323","24,030",18.16
03/10,500mL Lemon Spritz,NO,714,"16,309",22.84
03/10,500mL Lemon Spritz,SO,717,"16,814",23.45
03/10,500mL Lemon Spritz,WE,"1,419","33,408",23.54
03/10,500mL Spritz,NO,"1,655","34,488",20.84
03/10,500mL Spritz,SO,"1,655","34,542",20.87
03/10,500mL Spritz,WE,"1,333","19,748",14.81
03/05,1L ClearPure,NO,814,"10,749",13.20
03/05,1L ClearPure,SO,"2,797","37,974",13.58
03/05,1L ClearPure,WE,"1,116","14,324",12.84
03/05,1L Lemon Spritz,NO,"1,877","32,045",17.07
03/05,1L Lemon Spritz,SO,524,"8,529",16.28
03/05,1L Lemon Spritz,WE,"1,520","24,215",15.93
03/05,1L Spritz,NO,874,"13,537",15.49
03/05,1L Spritz,SO,738,"11,450",15.52
03/05,1L Spritz,WE,"1,450","23,143",15.96
03/05,500mL ClearPure,NO,"1,779","32,019",18.00
03/05,500mL ClearPure,SO,"2,011","36,105",17.95
03/05,500mL ClearPure,WE,"1,445","25,970",17.97
03/05,500mL Lemon Spritz,NO,790,"17,448",22.09
03/05,500mL Lemon Spritz,SO,922,"20,226",21.94
03/05,500mL Lemon Spritz,WE,"1,644","36,988",22.50
03/05,500mL Spritz,NO,"1,799","36,586",20.34
03/05,500mL Spritz,SO,"1,554","31,870",20.51
03/05,500mL Spritz,WE,"1,008","20,740",20.58
02/20,1L ClearPure,NO,"1,141","14,653",12.84
02/20,1L ClearPure,SO,"3,215","41,296",12.84
02/20,1L ClearPure,WE,"1,856","25,163",13.56
02/20,1L Lemon Spritz,NO,"2,041","35,511",17.40
02/20,1L Lemon Spritz,SO,360,"6,213",17.26
02/20,1L Lemon Spritz,WE,983,"17,245",17.54
02/20,1L Spritz,NO,595,"9,155",15.39
02/20,1L Spritz,SO,713,"11,402",15.99
02/20,1L Spritz,WE,"1,527","23,411",15.33
02/20,500mL ClearPure,NO,"1,869","34,354",18.38
02/20,500mL ClearPure,SO,"2,351","42,100",17.91
02/20,500mL ClearPure,WE,"1,921","34,193",17.80
02/20,500mL Lemon Spritz,NO,551,"12,781",23.20
02/20,500mL Lemon Spritz,SO,490,"11,571",23.61
02/20,500mL Lemon Spritz,WE,"1,400","32,664",23.33
02/20,500mL Spritz,NO,"1,916","39,948",20.85
02/20,500mL Spritz,SO,"1,561","32,284",20.68
02/20,500mL Spritz,WE,653,"13,624",20.86
02/15,1L ClearPure,NO,"1,140","16,399",14.39
02/15,1L ClearPure,SO,"2,786","37,590",13.49
02/15,1L ClearPure,WE,"1,514","21,612",14.27
02/15,1L Lemon Spritz,NO,"1,632","28,662",17.56
02/15,1L Lemon Spritz,SO,335,"5,994",17.89
02/15,1L Lemon Spritz,WE,"1,260","22,202",17.62
02/15,1L Spritz,NO,743,"12,155",16.36
02/15,1L Spritz,SO,616,"9,438",15.32
02/15,1L Spritz,WE,"1,333","21,401",16.05
02/15,500mL ClearPure,NO,"2,150","36,910",17.17
02/15,500mL ClearPure,SO,"2,306","40,904",17.74
02/15,500mL ClearPure,WE,"1,708","30,375",17.78
02/15,500mL Lemon Spritz,NO,622,"14,052",22.59
02/15,500mL Lemon Spritz,SO,784,"18,333",23.38
02/15,500mL Lemon Spritz,WE,"1,482","33,846",22.84
02/15,500mL Spritz,NO,"1,640","34,637",21.12
02/15,500mL Spritz,SO,"1,433","29,970",20.91
02/15,500mL Spritz,WE,699,"14,623",20.92
02/10,1L ClearPure,NO,862,"12,441",14.43
02/10,1L ClearPure,SO,"2,807","40,014",14.25
02/10,1L ClearPure,WE,"1,346","20,169",14.98
02/10,1L Lemon Spritz,NO,"1,972","34,050",17.27
02/10,1L Lemon Spritz,SO,417,"7,275",17.45
02/10,1L Lemon Spritz,WE,"1,034","18,484",17.88
02/10,1L Spritz,NO,669,"11,151",16.67
02/10,1L Spritz,SO,565,"9,442",16.71
02/10,1L Spritz,WE,"1,322","22,331",16.89
02/10,500mL ClearPure,NO,"1,627","30,088",18.49
02/10,500mL ClearPure,SO,"2,073","38,657",18.65
02/10,500mL ClearPure,WE,"1,437","26,818",18.66
02/10,500mL Lemon Spritz,NO,528,"12,073",22.87
02/10,500mL Lemon Spritz,SO,"1,197","26,545",22.18
02/10,500mL Lemon Spritz,WE,"1,675","37,766",22.55
02/10,500mL Spritz,NO,"1,782","37,655",21.13
02/10,500mL Spritz,SO,"1,267","26,627",21.02
02/10,500mL Spritz,WE,887,"18,590",20.96
02/05,1L ClearPure,NO,349,"5,339",15.30
02/05,1L ClearPure,SO,"1,559","23,956",15.37
02/05,1L ClearPure,WE,542,"7,828",14.44
02/05,1L Lemon Spritz,NO,"1,137","21,329",18.76
02/05,1L Lemon Spritz,SO,164,"3,311",20.19
02/05,1L Lemon Spritz,WE,818,"13,846",16.93
02/05,1L Spritz,NO,521,"8,509",16.33
02/05,1L Spritz,SO,446,"7,479",16.77
02/05,1L Spritz,WE,"1,122","18,906",16.85
