Round,Day,Area,Material,Material description,Price,Qty,Value,Cost
3,20,SO,KK-B01,1L ClearPure,12.30,107,"1,316.10","1,282.93"
3,20,SO,KK-B04,500mL ClearPure,17.15,67,"1,149.05","1,138.33"
3,20,SO,KK-B04,500mL ClearPure,17.15,125,"2,143.75","2,123.75"
3,15,SO,KK-B06,500mL Lemon Spritz,23.30,54,"1,258.20","1,241.46"
3,15,SO,KK-B01,1L ClearPure,13.40,124,"1,661.60","1,486.76"
3,15,SO,KK-B04,500mL ClearPure,18.35,64,"1,174.40","1,087.36"
3,13,SO,KK-B01,1L ClearPure,13.30,164,"2,181.20","1,966.36"
3,13,SO,KK-B01,1L ClearPure,13.30,154,"2,048.20","1,846.46"
3,13,SO,KK-B05,500mL Spritz,21.10,84,"1,772.40","1,679.16"
3,13,SO,KK-B05,500mL Spritz,21.10,77,"1,624.70","1,539.23"
3,13,SO,KK-B01,1L ClearPure,13.30,142,"1,888.60","1,702.58"
3,13,SO,KK-B05,500mL Spritz,21.10,81,"1,709.10","1,619.19"
3,12,NO,KK-B06,500mL Lemon Spritz,23.30,81,"1,887.30","1,862.19"
3,12,NO,KK-B02,1L Spritz,15.15,104,"1,575.60","1,558.96"
3,12,NO,KK-B05,500mL Spritz,20.15,96,"1,934.40","1,919.04"
3,12,NO,KK-B05,500mL Spritz,20.15,95,"1,914.25","1,899.05"
3,12,NO,KK-B04,500mL ClearPure,17.75,99,"1,757.25","1,682.01"
3,12,NO,KK-B04,500mL ClearPure,17.75,106,"1,881.50","1,800.94"
3,10,WE,KK-B02,1L Spritz,15.25,136,"2,074.00","2,038.64"
3,10,WE,KK-B06,500mL Lemon Spritz,23.30,55,"1,281.50","1,264.45"
3,10,WE,KK-B06,500mL Lemon Spritz,23.30,61,"1,421.30","1,402.39"
3,8,NO,KK-B01,1L ClearPure,13.00,143,"1,859.00","1,714.57"
3,8,NO,KK-B04,500mL ClearPure,17.75,121,"2,147.75","2,055.79"
3,8,NO,KK-B05,500mL Spritz,20.15,103,"2,075.45","2,058.97"
3,8,SO,KK-B05,500mL Spritz,20.15,67,"1,350.05","1,339.33"
3,8,SO,KK-B02,1L Spritz,15.25,123,"1,875.75","1,843.77"
3,8,SO,KK-B04,500mL ClearPure,17.75,103,"1,828.25","1,749.97"
3,8,SO,KK-B06,500mL Lemon Spritz,23.30,93,"2,166.90","2,138.07"
3,8,SO,KK-B05,500mL Spritz,20.15,103,"2,075.45","2,058.97"
3,8,SO,KK-B03,1L Lemon Spritz,17.10,28,478.80,475.72
3,8,SO,KK-B02,1L Spritz,15.25,110,"1,677.50","1,648.90"
3,8,SO,KK-B01,1L ClearPure,13.00,27,351.00,323.73
3,8,SO,KK-B06,500mL Lemon Spritz,23.30,57,"1,328.10","1,310.43"
3,8,SO,KK-B05,500mL Spritz,20.15,95,"1,914.25","1,899.05"
3,8,SO,KK-B04,500mL ClearPure,17.75,99,"1,757.25","1,682.01"
3,8,SO,KK-B04,500mL ClearPure,17.75,101,"1,792.75","1,715.99"
3,8,WE,KK-B01,1L ClearPure,13.00,141,"1,833.00","1,690.59"
3,8,WE,KK-B01,1L ClearPure,13.00,167,"2,171.00","2,002.33"
3,8,WE,KK-B02,1L Spritz,15.25,87,"1,326.75","1,304.13"
3,7,SO,KK-B05,500mL Spritz,20.60,102,"2,101.20","2,038.98"
3,7,SO,KK-B04,500mL ClearPure,17.50,28,490.00,475.72
3,7,SO,KK-B01,1L ClearPure,12.70,165,"2,095.50","1,978.35"
3,6,SO,KK-B02,1L Spritz,15.20,116,"1,763.20","1,738.84"
3,6,SO,KK-B02,1L Spritz,15.20,127,"1,930.40","1,903.73"
3,6,SO,KK-B01,1L ClearPure,12.70,157,"1,993.90","1,882.43"
3,5,NO,KK-B01,1L ClearPure,12.70,87,"1,104.90","1,043.13"
